Temp , Taille , ex , num
(15:51:25.217) ,500906 ,  11 , 5823
(15:51:25.232) ,500992 ,  14 , 5824
(15:51:25.248) ,501078 ,  18 , 5825
(15:51:25.263) ,501164 ,  12 , 5826
(15:51:25.275) ,501250 ,  18 , 5827
(15:51:25.287) ,501336 ,  15 , 5828
(15:51:25.299) ,501422 ,  12 , 5829
(15:51:25.312) ,501508 ,  20 , 5830
(15:51:25.325) ,501594 ,  16 , 5831
(15:51:25.336) ,501680 ,  14 , 5832
(15:51:25.351) ,501766 ,  17 , 5833
(15:51:25.363) ,501852 ,  13 , 5834
(15:51:25.375) ,501938 ,  12 , 5835
(15:51:25.388) ,502024 ,  17 , 5836
(15:51:25.401) ,502110 ,  15 , 5837
(15:51:25.413) ,502196 ,  14 , 5838
(15:51:25.426) ,502282 ,  11 , 5839
(15:51:25.438) ,502368 ,  14 , 5840
(15:51:25.452) ,502454 ,  15 , 5841
(15:51:25.464) ,502540 ,  13 , 5842
(15:51:25.478) ,502626 ,  17 , 5843
(15:51:25.490) ,502712 ,  13 , 5844
(15:51:25.504) ,502798 ,  22 , 5845
(15:51:25.517) ,502884 ,  14 , 5846
(15:51:25.529) ,502970 ,  12 , 5847
(15:51:25.542) ,503056 ,  13 , 5848
(15:51:25.554) ,503142 ,  15 , 5849
(15:51:25.566) ,503228 ,  12 , 5850
(15:51:25.579) ,503314 ,  11 , 5851
(15:51:25.592) ,503400 ,  13 , 5852
(15:51:25.605) ,503486 ,  13 , 5853
(15:51:25.618) ,503572 ,  13 , 5854
(15:51:25.631) ,503658 ,  16 , 5855
(15:51:25.646) ,503744 ,  20 , 5856
(15:51:25.658) ,503830 ,  12 , 5857
(15:51:25.670) ,503916 ,  14 , 5858
(15:51:25.683) ,504002 ,  17 , 5859
(15:51:25.695) ,504088 ,   9 , 5860
(15:51:25.708) ,504174 ,  14 , 5861
(15:51:25.719) ,504260 ,  15 , 5862
(15:51:25.733) ,504346 ,  14 , 5863
(15:51:25.746) ,504432 ,  12 , 5864
(15:51:25.758) ,504518 ,  13 , 5865
(15:51:25.770) ,504604 ,  13 , 5866
(15:51:25.782) ,504690 ,  14 , 5867
(15:51:25.795) ,504776 ,   5 , 5868
(15:51:25.808) ,504862 ,  14 , 5869
(15:51:25.819) ,504948 ,  16 , 5870
(15:51:25.832) ,505034 ,  16 , 5871
(15:51:25.846) ,505120 ,  19 , 5872
(15:51:25.858) ,505206 ,  13 , 5873
(15:51:25.870) ,505292 ,  13 , 5874
(15:51:25.882) ,505378 ,  17 , 5875
(15:51:25.895) ,505464 ,  13 , 5876
(15:51:25.908) ,505550 ,  15 , 5877
(15:51:25.919) ,505636 ,  13 , 5878
(15:51:25.932) ,505722 ,  14 , 5879
(15:51:25.945) ,505808 ,  12 , 5880
(15:51:25.963) ,505894 ,  21 , 5881
(15:51:25.980) ,505980 ,  16 , 5882
(15:51:25.993) ,506066 ,  25 , 5883
(15:51:26.004) ,506152 ,  18 , 5884
(15:51:26.018) ,506238 ,  18 , 5885
(15:51:26.030) ,506324 ,  16 , 5886
(15:51:26.043) ,506410 ,  18 , 5887
(15:51:26.055) ,506496 ,  17 , 5888
(15:51:26.067) ,506582 ,  14 , 5889
(15:51:26.081) ,506668 ,  19 , 5890
(15:51:26.093) ,506754 ,  12 , 5891
(15:51:26.105) ,506840 ,  14 , 5892
(15:51:26.117) ,506926 ,  12 , 5893
(15:51:26.132) ,507012 ,  17 , 5894
(15:51:26.145) ,507098 ,  13 , 5895
(15:51:26.157) ,507184 ,  16 , 5896
(15:51:26.169) ,507270 ,  14 , 5897
(15:51:26.183) ,507356 ,  14 , 5898
(15:51:26.196) ,507442 ,  14 , 5899
(15:51:26.208) ,507528 ,  14 , 5900
(15:51:26.219) ,507614 ,  13 , 5901
(15:51:26.232) ,507700 ,  19 , 5902
(15:51:26.245) ,507786 ,  19 , 5903
(15:51:26.257) ,507872 ,  17 , 5904
(15:51:26.269) ,507958 ,  14 , 5905
(15:51:26.286) ,508044 ,   9 , 5906
(15:51:26.298) ,508130 ,  14 , 5907
(15:51:26.311) ,508216 ,  13 , 5908
(15:51:26.324) ,508302 ,  17 , 5909
(15:51:26.336) ,508388 ,  16 , 5910
(15:51:26.349) ,508474 ,  13 , 5911
(15:51:26.362) ,508560 ,  16 , 5912
(15:51:26.374) ,508646 ,  15 , 5913
(15:51:26.388) ,508732 ,  12 , 5914
(15:51:26.401) ,508818 ,  13 , 5915
(15:51:26.414) ,508904 ,  15 , 5916
(15:51:26.428) ,508990 ,  17 , 5917
(15:51:26.440) ,509076 ,  14 , 5918
(15:51:26.453) ,509162 ,  15 , 5919
(15:51:26.465) ,509248 ,  14 , 5920
(15:51:26.477) ,509334 ,  18 , 5921
(15:51:26.490) ,509420 ,  18 , 5922
(15:51:26.502) ,509506 ,  16 , 5923
(15:51:26.517) ,509592 ,  12 , 5924
(15:51:26.530) ,509678 ,  20 , 5925
(15:51:26.546) ,509764 ,  16 , 5926
(15:51:26.559) ,509850 ,  15 , 5927
(15:51:26.571) ,509936 ,  16 , 5928
(15:51:26.586) ,510022 ,  19 , 5929
(15:51:26.598) ,510108 ,  17 , 5930
(15:51:26.615) ,510194 ,  23 , 5931
(15:51:26.631) ,510280 ,  21 , 5932
(15:51:26.645) ,510366 ,  16 , 5933
